,r362,,,r397,,,r516,,,
ID,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêîÇÃsd
94,0.054263566,0.000710227,22.68475976,,,,0.068037975,0.000591716,133.1181248,9.48672E-05
163,0.093023256,0.000868056,574.9711607,0.109619687,0.000515996,205.6647095,0.088607595,0.000723589,1115.909947,0.000122741
164,0.093023256,0.00087108,607.3401652,0.064876957,0.000527426,129.4235379,0.079113924,0.000702247,381.5880809,0.000198062
95,0.091085271,0.000772201,123.3426161,0.020134228,0.000468604,2.151860408,0.126582278,0.000702741,702.7577845,0.002937546
165,0.052325581,0.000725689,28.15745205,0.033557047,0.000515464,9.721319289,0.049050633,0.000692042,82.00129275,0.000100506
244,0.07751938,0.000823723,376.4648176,0.118568233,0.000525486,363.2771829,0.115506329,0.000690608,264.4985004,0.000522899
245,0.085271318,0.000798085,293.2209208,0.129753915,0.000535619,435.708059,0.113924051,0.000682128,254.7031885,0.000508378
246,0.106589147,0.000801282,1123.950804,0.277404922,0.000565931,3544.496404,0.188291139,0.000759878,2248.589699,0.007299085
247,0.044573643,0.000793651,160.1170737,0.015659955,0.000490196,8.14306767,0.044303797,0.000678426,136.3180502,0.000276091
353,0.027131783,0.000696379,35.5168525,0.042505593,0.000510465,141.3640733,0.028481013,0.00063012,38.72424546,7.24772E-05
96,0.007751938,0.000610128,3.005542743,0.078299776,0.000542005,43.30130936,0.006329114,0.000522193,0.940201789,0.001693133
98,0.025193798,0.000695894,52.71364699,0.078299776,0.000531067,29.99778284,0.039556962,0.000701754,163.3921365,0.000754592
167,0.083333333,0.000815661,344.0802295,0.261744966,0.000531067,531.2529965,0.077531646,0.000708717,375.1386086,0.010966486
168,0.044573643,0.000763359,89.63392402,0.116331096,0.000518135,136.7180249,0.056962025,0.000690131,936.2539589,0.001471215
248,0.083333333,0.0008,843.4161689,0.071588367,0.000501756,124.0814355,0.077531646,0.000690131,634.8164096,3.44877E-05
299,0.05620155,0.000757002,133.907573,,,,0.143987342,0.000709723,1169.917113,0.003853173
300,0.050387597,0.000749625,52.9443116,,,,0.088607595,0.000715308,314.0300918,0.000730384
27,0.025193798,0.000614251,1.480402273,,,,0.044303797,0.000610874,60.38460167,0.000182596
28,0.025193798,0.000614251,1.480402273,,,,0.044303797,0.000610874,60.38460167,0.000182596
29,0.025193798,0.000614251,1.480402273,,,,0.044303797,0.000610874,60.38460167,0.000182596
30,0.025193798,0.000614251,1.480402273,,,,0.044303797,0.000610874,60.38460167,0.000182596
31,0.025193798,0.000614251,1.480402273,,,,0.044303797,0.000610874,60.38460167,0.000182596
32,0.036821705,0.00070028,19.71381509,0.060402685,0.000468384,7.003449792,0.117088608,0.000750188,887.533388,0.001702022
33,0.025193798,0.000614251,1.480402273,,,,0.044303797,0.000610874,60.38460167,0.000182596
403,0.054263566,0.000710227,60.73979253,0.07606264,0.000506073,293.1817669,0.066455696,0.000647668,243.600531,0.000119357
355,0.07751938,0.000754717,119.2362877,0.100671141,0.000552792,120.1086971,0.123417722,0.000699301,534.6239576,0.000526678
34,0.141472868,0.000783699,499.6898741,0.11409396,0.000520291,59.5587767,0.142405063,0.000740741,1081.033757,0.000258665
99,0.013565891,0.000603865,3.159875464,,,,0.011075949,0.000502513,2.249294405,3.09991E-06
100,0.013565891,0.000603865,3.159875464,,,,0.011075949,0.000502513,2.249294405,3.09991E-06
101,0.013565891,0.000603865,3.159875464,,,,0.039556962,0.000636132,105.7553454,0.000337768
102,0.067829457,0.000750751,402.1660608,,,,0.055379747,0.000633714,384.4849757,7.74976E-05
103,0.023255814,0.000672495,150.0212359,,,,0.018987342,0.000584795,136.6712766,9.10993E-06
356,0.036821705,0.00077821,355.7076449,0.017897092,0.000448632,1.264499022,0.091772152,0.000750751,1214.538255,0.001472536
105,0.153100775,0.000809717,947.9715067,0.093959732,0.000545852,848.1864234,0.155063291,0.00073046,1575.801026,0.00120586
264,0.120155039,0.000820345,891.3293678,0.064876957,0.00051573,151.7547541,0.139240506,0.000749064,2085.501466,0.001491643
106,0.110465116,0.00083612,1094.587911,,,,0.080696203,0.000688231,644.7021361,0.000443094
446,0.021317829,0.000702247,6.18364503,0.040268456,0.000461681,1.060189128,0.017405063,0.000605327,4.203298589,0.000149528
447,0.025193798,0.000702741,27.0631755,0.026845638,0.000518672,25.66991509,0.02056962,0.000623441,46.1488725,1.05833E-05
448,0.021317829,0.000702247,6.18364503,0.040268456,0.000461681,1.060189128,0.017405063,0.000605327,4.203298589,0.000149528
449,0.021317829,0.000702247,6.18364503,0.026845638,0.000518672,25.66991509,0.02056962,0.000609756,38.97329538,1.17508E-05
450,0.021317829,0.000702247,6.18364503,,,,0.017405063,0.000605327,4.203298589,7.65487E-06
35,0.075581395,0.000845309,600.0456843,0.208053691,0.000545852,590.1778996,0.063291139,0.000707214,483.0481313,0.006442693
169,0.104651163,0.000811688,3301.139056,0.118568233,0.000542888,817.1544184,0.159810127,0.000777605,4862.527909,0.000822848
65,0.029069767,0.000629327,13.32697158,,,,0.023734177,0.00056338,39.6758755,1.42343E-05
66,0.110465116,0.000740741,488.6241383,,,,0.113924051,0.000697837,811.4985133,5.98211E-06
321,0.01744186,0.00065189,6.372553313,,,,0.015822785,0.000550661,6.039187623,1.3107E-06
265,0.079457364,0.000881057,522.7948078,,,,0.10443038,0.000686342,466.2163233,0.000311826
170,0.048449612,0.000861326,322.0246042,,,,0.053797468,0.000683995,113.2627887,1.42998E-05
146,0.019379845,0.000619579,7.344933716,,,,0.015822785,0.000529101,5.936748715,6.32634E-06
107,0.168604651,0.000833333,3443.32103,0.275167785,0.000552486,1446.432349,0.143987342,0.000712758,2053.888624,0.00486167
148,0.199612403,0.000824402,1589.968333,,,,0.224683544,0.000744048,2582.125073,0.000314281
172,0.089147287,0.000879507,515.8308942,,,,0.071202532,0.000731529,401.6412938,0.000161007
166,0.106589147,0.000749625,623.3826349,0.11409396,0.000518135,339.7750209,0.099683544,0.000677966,816.1366528,5.19449E-05
173,0.054263566,0.00087184,366.7432243,,,,0.042721519,0.000726216,234.3444246,6.66094E-05
174,0.104651163,0.000801282,114.2943192,0.022371365,0.000506329,11.97040499,0.106012658,0.000635324,133.8234006,0.002294614
67,0.110465116,0.000740741,488.6241383,,,,0.113924051,0.000697837,811.4985133,5.98211E-06
